"BehaviorSpace results (NetLogo 5.3)"
"ridesharing_traffic.nlogo"
"experiment"
"05/04/2016 19:34:24:955 -0400"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","30","0","30"
"[run number]","num-people","uber-preference","ridesharing-allowed?","num-taxis","base-uber-rate","cost-tolerance","speed-limit","num-ubers","is_weekday?","base-taxi-rate","[step]","avg-num-cars","max-num-cars","min-num-cars","total-num-cars"
"4","200","3","true","15","5","5","1","30","true","10","1442","35.083333333333336","54","12","842"
"3","200","3","true","15","5","5","1","30","true","10","1442","35.666666666666664","63","11","856"
"2","200","3","true","15","5","5","1","30","true","10","1442","36.5","64","13","876"
"1","200","3","true","15","5","5","1","30","true","10","1442","37","60","13","888"
"6","200","3","true","15","5","5","1","30","false","10","1442","30.916666666666668","61","11","742"
"5","200","3","true","15","5","5","1","30","true","10","1442","37.416666666666664","66","13","898"
"7","200","3","true","15","5","5","1","30","false","10","1442","34.75","64","14","834"
"8","200","3","true","15","5","5","1","30","false","10","1442","30.833333333333332","59","11","740"
"11","200","6","true","15","5","5","1","30","true","10","1442","33.583333333333336","63","12","806"
"9","200","3","true","15","5","5","1","30","false","10","1442","33.166666666666664","62","11","796"
"12","200","6","true","15","5","5","1","30","true","10","1442","36.5","71","12","876"
"10","200","3","true","15","5","5","1","30","false","10","1442","33.75","66","14","810"
"13","200","6","true","15","5","5","1","30","true","10","1442","36.333333333333336","57","12","872"
"14","200","6","true","15","5","5","1","30","true","10","1442","35.833333333333336","67","11","860"
"15","200","6","true","15","5","5","1","30","true","10","1442","37.583333333333336","68","11","902"
"16","200","6","true","15","5","5","1","30","false","10","1442","32.25","65","12","774"
"18","200","6","true","15","5","5","1","30","false","10","1442","30.25","53","12","726"
"17","200","6","true","15","5","5","1","30","false","10","1442","31.833333333333332","51","12","764"
"19","200","6","true","15","5","5","1","30","false","10","1442","34.166666666666664","60","13","820"
"20","200","6","true","15","5","5","1","30","false","10","1442","32.75","56","13","786"
"21","200","9","true","15","5","5","1","30","true","10","1442","27.833333333333332","45","10","668"
"22","200","9","true","15","5","5","1","30","true","10","1442","29.833333333333332","45","11","716"
"23","200","9","true","15","5","5","1","30","true","10","1442","33.5","64","13","804"
"24","200","9","true","15","5","5","1","30","true","10","1442","32.583333333333336","71","10","782"
"25","200","9","true","15","5","5","1","30","true","10","1442","28.333333333333332","45","16","680"
"26","200","9","true","15","5","5","1","30","false","10","1442","26.833333333333332","45","12","644"
"28","200","9","true","15","5","5","1","30","false","10","1442","28.416666666666668","52","11","682"
"27","200","9","true","15","5","5","1","30","false","10","1442","30.75","62","13","738"
"29","200","9","true","15","5","5","1","30","false","10","1442","29.333333333333332","50","11","704"
"30","200","9","true","15","5","5","1","30","false","10","1442","33.5","62","11","804"
