"BehaviorSpace results (NetLogo 5.3)"
"ridesharing_traffic.nlogo"
"experiment"
"05/04/2016 20:47:20:264 -0400"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","30","0","30"
"[run number]","num-people","uber-preference","ridesharing-allowed?","num-taxis","base-uber-rate","cost-tolerance","speed-limit","num-ubers","is_weekday?","base-taxi-rate","[step]","avg-num-cars","max-num-cars","min-num-cars","total-num-cars"
"2","200","0","true","15","5","5","1","30","false","10","1442","34.916666666666664","60","11","838"
"4","200","0","true","15","5","5","1","30","false","10","1442","35.333333333333336","61","13","848"
"3","200","0","true","15","5","5","1","30","false","10","1442","36.5","64","11","876"
"1","200","0","true","15","5","5","1","30","false","10","1442","35.166666666666664","62","12","844"
"5","200","0","true","15","5","5","1","30","false","10","1442","36","63","11","864"
"7","200","0","true","15","5","5","1","30","false","10","1442","34.583333333333336","61","12","830"
"6","200","0","true","15","5","5","1","30","false","10","1442","36.666666666666664","64","12","880"
"8","200","0","true","15","5","5","1","30","false","10","1442","35.25","63","12","846"
"9","200","0","true","15","5","5","1","30","false","10","1442","36.416666666666664","60","12","874"
"11","200","2","true","15","5","5","1","30","false","10","1442","34.916666666666664","61","11","838"
"10","200","0","true","15","5","5","1","30","false","10","1442","37.083333333333336","63","12","890"
"12","200","2","true","15","5","5","1","30","false","10","1442","36.416666666666664","59","13","874"
"13","200","2","true","15","5","5","1","30","false","10","1442","35.833333333333336","61","13","860"
"15","200","2","true","15","5","5","1","30","false","10","1442","33.5","58","11","804"
"14","200","2","true","15","5","5","1","30","false","10","1442","36.5","64","12","876"
"16","200","2","true","15","5","5","1","30","false","10","1442","37.166666666666664","62","12","892"
"17","200","2","true","15","5","5","1","30","false","10","1442","33.75","56","10","810"
"18","200","2","true","15","5","5","1","30","false","10","1442","34.5","63","13","828"
"19","200","2","true","15","5","5","1","30","false","10","1442","36.333333333333336","65","10","872"
"20","200","2","true","15","5","5","1","30","false","10","1442","35.583333333333336","62","13","854"
"21","200","4","true","15","5","5","1","30","false","10","1442","34.75","57","9","834"
"23","200","4","true","15","5","5","1","30","false","10","1442","35.25","66","12","846"
"22","200","4","true","15","5","5","1","30","false","10","1442","35.583333333333336","66","12","854"
"24","200","4","true","15","5","5","1","30","false","10","1442","36","60","12","864"
"25","200","4","true","15","5","5","1","30","false","10","1442","34.666666666666664","64","12","832"
"26","200","4","true","15","5","5","1","30","false","10","1442","35.5","70","14","852"
"27","200","4","true","15","5","5","1","30","false","10","1442","35.833333333333336","66","11","860"
"28","200","4","true","15","5","5","1","30","false","10","1442","37","66","11","888"
"29","200","4","true","15","5","5","1","30","false","10","1442","34.75","57","12","834"
"30","200","4","true","15","5","5","1","30","false","10","1442","34.416666666666664","58","14","826"
"31","200","6","true","15","5","5","1","30","false","10","1442","38.75","67","13","930"
"32","200","6","true","15","5","5","1","30","false","10","1442","35.25","54","12","846"
"33","200","6","true","15","5","5","1","30","false","10","1442","37.25","63","13","894"
"34","200","6","true","15","5","5","1","30","false","10","1442","36.5","66","13","876"
"35","200","6","true","15","5","5","1","30","false","10","1442","31.833333333333332","65","11","764"
"36","200","6","true","15","5","5","1","30","false","10","1442","34.666666666666664","53","14","832"
"37","200","6","true","15","5","5","1","30","false","10","1442","36.916666666666664","76","10","886"
"38","200","6","true","15","5","5","1","30","false","10","1442","36.25","64","12","870"
"39","200","6","true","15","5","5","1","30","false","10","1442","36","63","12","864"
"40","200","6","true","15","5","5","1","30","false","10","1442","30.333333333333332","52","11","728"
"41","200","8","true","15","5","5","1","30","false","10","1442","30.916666666666668","61","13","742"
"42","200","8","true","15","5","5","1","30","false","10","1442","32.333333333333336","61","14","776"
"43","200","8","true","15","5","5","1","30","false","10","1442","35.833333333333336","61","16","860"
"44","200","8","true","15","5","5","1","30","false","10","1442","39.166666666666664","78","11","940"
"45","200","8","true","15","5","5","1","30","false","10","1442","33.333333333333336","53","12","800"
"46","200","8","true","15","5","5","1","30","false","10","1442","34.666666666666664","75","12","832"
"47","200","8","true","15","5","5","1","30","false","10","1442","26.083333333333332","45","14","626"
"48","200","8","true","15","5","5","1","30","false","10","1442","36","64","11","864"
"49","200","8","true","15","5","5","1","30","false","10","1442","29.583333333333332","52","10","710"
"51","200","10","true","15","5","5","1","30","false","10","1442","27.333333333333332","45","13","656"
"50","200","8","true","15","5","5","1","30","false","10","1442","32.416666666666664","59","11","778"
"52","200","10","true","15","5","5","1","30","false","10","1442","34.25","64","9","822"
"53","200","10","true","15","5","5","1","30","false","10","1442","27.833333333333332","50","10","668"
"54","200","10","true","15","5","5","1","30","false","10","1442","30.833333333333332","53","14","740"
"55","200","10","true","15","5","5","1","30","false","10","1442","29.75","61","9","714"
"56","200","10","true","15","5","5","1","30","false","10","1442","32.75","66","14","786"
"57","200","10","true","15","5","5","1","30","false","10","1442","27.583333333333332","46","12","662"
"59","200","10","true","15","5","5","1","30","false","10","1442","28.083333333333332","49","13","674"
"58","200","10","true","15","5","5","1","30","false","10","1442","34.25","75","9","822"
"60","200","10","true","15","5","5","1","30","false","10","1442","29.5","63","10","708"
