"BehaviorSpace results (NetLogo 5.3)"
"ridesharing_traffic.nlogo"
"no-ubers"
"05/04/2016 20:58:05:255 -0400"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","30","0","30"
"[run number]","is_weekday?","base-uber-rate","ridesharing-allowed?","num-taxis","num-ubers","num-people","cost-tolerance","uber-preference","speed-limit","base-taxi-rate","[step]","total-num-cars","avg-num-cars","max-num-cars"
"3","false","5","false","45","30","200","5","5","1","10","1441","1042","43.416666666666664","61"
"4","false","5","false","45","30","200","5","5","1","10","1441","1006","41.916666666666664","59"
"2","false","5","false","45","30","200","5","5","1","10","1441","1062","44.25","61"
"1","false","5","false","45","30","200","5","5","1","10","1441","1022","42.583333333333336","58"
"7","true","5","false","45","30","200","5","5","1","10","1441","1008","42","59"
"6","true","5","false","45","30","200","5","5","1","10","1441","1018","42.416666666666664","61"
"5","false","5","false","45","30","200","5","5","1","10","1441","1074","44.75","65"
"8","true","5","false","45","30","200","5","5","1","10","1441","1002","41.75","62"
"9","true","5","false","45","30","200","5","5","1","10","1441","1012","42.166666666666664","64"
"10","true","5","false","45","30","200","5","5","1","10","1441","992","41.333333333333336","62"
