"BehaviorSpace results (NetLogo 5.3)"
"ridesharing_traffic.nlogo"
"experiment"
"05/04/2016 19:04:55:836 -0400"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","30","0","30"
"[run number]","1","1","1","1","2","2","2","2","3","3","3","3","4","4","4","4","5","5","5","5","6","6","6","6","7","7","7","7","8","8","8","8","9","9","9","9","10","10","10","10","11","11","11","11","12","12","12","12","13","13","13","13","14","14","14","14","15","15","15","15","16","16","16","16","17","17","17","17","18","18","18","18","19","19","19","19","20","20","20","20","21","21","21","21","22","22","22","22","23","23","23","23","24","24","24","24","25","25","25","25","26","26","26","26","27","27","27","27","28","28","28","28","29","29","29","29","30","30","30","30","31","31","31","31","32","32","32","32","33","33","33","33","34","34","34","34","35","35","35","35","36","36","36","36"
"num-people","200",,,,"200",,,,"200",,,,"200",,,,"200",,,,"200",,,,"200",,,,"200",,,,"200",,,,"200",,,,"200",,,,"200",,,,"200",,,,"200",,,,"200",,,,"200",,,,"200",,,,"200",,,,"200",,,,"200",,,,"200",,,,"200",,,,"200",,,,"200",,,,"200",,,,"200",,,,"200",,,,"200",,,,"200",,,,"200",,,,"200",,,,"200",,,,"200",,,,"200",,,,"200",,,,"200",,,
"uber-preference","3",,,,"3",,,,"3",,,,"3",,,,"3",,,,"3",,,,"3",,,,"3",,,,"3",,,,"3",,,,"3",,,,"3",,,,"6",,,,"6",,,,"6",,,,"6",,,,"6",,,,"6",,,,"6",,,,"6",,,,"6",,,,"6",,,,"6",,,,"6",,,,"9",,,,"9",,,,"9",,,,"9",,,,"9",,,,"9",,,,"9",,,,"9",,,,"9",,,,"9",,,,"9",,,,"9",,,
"ridesharing-allowed?","true",,,,"true",,,,"true",,,,"true",,,,"true",,,,"true",,,,"false",,,,"false",,,,"false",,,,"false",,,,"false",,,,"false",,,,"true",,,,"true",,,,"true",,,,"true",,,,"true",,,,"true",,,,"false",,,,"false",,,,"false",,,,"false",,,,"false",,,,"false",,,,"true",,,,"true",,,,"true",,,,"true",,,,"true",,,,"true",,,,"false",,,,"false",,,,"false",,,,"false",,,,"false",,,,"false",,,
"num-taxis","15",,,,"15",,,,"15",,,,"15",,,,"15",,,,"15",,,,"15",,,,"15",,,,"15",,,,"15",,,,"15",,,,"15",,,,"15",,,,"15",,,,"15",,,,"15",,,,"15",,,,"15",,,,"15",,,,"15",,,,"15",,,,"15",,,,"15",,,,"15",,,,"15",,,,"15",,,,"15",,,,"15",,,,"15",,,,"15",,,,"15",,,,"15",,,,"15",,,,"15",,,,"15",,,,"15",,,
"cost-tolerance","3",,,,"3",,,,"6",,,,"6",,,,"9",,,,"9",,,,"3",,,,"3",,,,"6",,,,"6",,,,"9",,,,"9",,,,"3",,,,"3",,,,"6",,,,"6",,,,"9",,,,"9",,,,"3",,,,"3",,,,"6",,,,"6",,,,"9",,,,"9",,,,"3",,,,"3",,,,"6",,,,"6",,,,"9",,,,"9",,,,"3",,,,"3",,,,"6",,,,"6",,,,"9",,,,"9",,,
"num-ubers","30",,,,"30",,,,"30",,,,"30",,,,"30",,,,"30",,,,"30",,,,"30",,,,"30",,,,"30",,,,"30",,,,"30",,,,"30",,,,"30",,,,"30",,,,"30",,,,"30",,,,"30",,,,"30",,,,"30",,,,"30",,,,"30",,,,"30",,,,"30",,,,"30",,,,"30",,,,"30",,,,"30",,,,"30",,,,"30",,,,"30",,,,"30",,,,"30",,,,"30",,,,"30",,,,"30",,,
"is_weekday?","true",,,,"false",,,,"true",,,,"false",,,,"true",,,,"false",,,,"true",,,,"false",,,,"true",,,,"false",,,,"true",,,,"false",,,,"true",,,,"false",,,,"true",,,,"false",,,,"true",,,,"false",,,,"true",,,,"false",,,,"true",,,,"false",,,,"true",,,,"false",,,,"true",,,,"false",,,,"true",,,,"false",,,,"true",,,,"false",,,,"true",,,,"false",,,,"true",,,,"false",,,,"true",,,,"false",,,
"base-uber-rate","5",,,,"5",,,,"5",,,,"5",,,,"5",,,,"5",,,,"5",,,,"5",,,,"5",,,,"5",,,,"5",,,,"5",,,,"5",,,,"5",,,,"5",,,,"5",,,,"5",,,,"5",,,,"5",,,,"5",,,,"5",,,,"5",,,,"5",,,,"5",,,,"5",,,,"5",,,,"5",,,,"5",,,,"5",,,,"5",,,,"5",,,,"5",,,,"5",,,,"5",,,,"5",,,,"5",,,
"speed-limit","1",,,,"1",,,,"1",,,,"1",,,,"1",,,,"1",,,,"1",,,,"1",,,,"1",,,,"1",,,,"1",,,,"1",,,,"1",,,,"1",,,,"1",,,,"1",,,,"1",,,,"1",,,,"1",,,,"1",,,,"1",,,,"1",,,,"1",,,,"1",,,,"1",,,,"1",,,,"1",,,,"1",,,,"1",,,,"1",,,,"1",,,,"1",,,,"1",,,,"1",,,,"1",,,,"1",,,
