"BehaviorSpace results (NetLogo 5.3)"
"ridesharing_traffic.nlogo"
"ubers"
"05/04/2016 20:56:46:676 -0400"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","30","0","30"
"[run number]","is_weekday?","base-uber-rate","ridesharing-allowed?","num-taxis","num-ubers","num-people","cost-tolerance","uber-preference","speed-limit","base-taxi-rate","[step]","total-num-cars","avg-num-cars","max-num-cars"
"2","false","5","true","15","30","200","5","5","1","10","1441","814","33.916666666666664","52"
"4","false","5","true","15","30","200","5","5","1","10","1441","836","34.833333333333336","58"
"3","false","5","true","15","30","200","5","5","1","10","1441","868","36.166666666666664","62"
"1","false","5","true","15","30","200","5","5","1","10","1441","876","36.5","59"
"5","false","5","true","15","30","200","5","5","1","10","1441","734","30.583333333333332","54"
"6","true","5","true","15","30","200","5","5","1","10","1441","774","32.25","54"
"7","true","5","true","15","30","200","5","5","1","10","1441","810","33.75","66"
"8","true","5","true","15","30","200","5","5","1","10","1441","750","31.25","54"
"9","true","5","true","15","30","200","5","5","1","10","1441","852","35.5","63"
"10","true","5","true","15","30","200","5","5","1","10","1441","776","32.333333333333336","65"
